run_id,condition,rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,button_pressed,iTrial,Phase,key_press,StimulusDurationSetting,ExperimentPhase,correctResponse,slider_start,response,Rearranged,didSubjectEnterRearranged,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
84,1,null,"""",image-keyboard-response,47,93851,0.0-47.0,jspsych/neutralFaces/BF19NES.JPG,"""",1,Cue,null,"function(){
        return jsPsych.randomization.sampleWithoutReplacement(cueDuration, 1)[0]}",Test,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",image-keyboard-response,48,93953,0.0-48.0,jspsych/neutralFaces/BF24NES.JPG,"""",1,backwardMask,null,100,Test,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",html-keyboard-response,49,94955,0.0-49.0,"<div style=""font-size:60px;"">+</div>","""",1,fixationBtwnNeutralMaskAndPrompt,null,1000,Test,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,2195.55,"""",html-slider-response,50,97153,0.0-50.0,"<img src='jspsych/CFDfaces/CFD-LM-221-216-N.jpg' height=""250px"">,</br><b>Edward</b>","""",1,ConfidenceQuery,"""","""",Test,"""",50,50,"""",2,1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",html-keyboard-response,51,98158,0.0-51.0,"<div style=""font-size:60px;"">+</div>","""",2,ITI,null,1000,Test,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",image-keyboard-response,52,98411,0.0-52.0,jspsych/scrambledDisgustFaces/scrambledBF07DIS.JPG,"""",2,forwardMask,null,250,Test,d,"""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",image-keyboard-response,53,98431,0.0-53.0,jspsych/disgustFaces/BF07DIS.JPG,"""",2,Cue,null,"function(){
        return jsPsych.randomization.sampleWithoutReplacement(cueDuration, 1)[0]}",Test,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",image-keyboard-response,54,98534,0.0-54.0,jspsych/neutralFaces/AF17NES.JPG,"""",2,backwardMask,null,100,Test,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",html-keyboard-response,55,99535,0.0-55.0,"<div style=""font-size:60px;"">+</div>","""",2,fixationBtwnNeutralMaskAndPrompt,null,1000,Test,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,2592.79,"""",html-slider-response,56,102130,0.0-56.0,"<img src='jspsych/CFDfaces/CFD-LF-218-072-N.jpg' height=""250px"">,</br><b>Rachel</b>","""",2,ConfidenceQuery,"""","""",Test,"""",50,50,"""",2,1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
