run_id,condition,rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,button_pressed,iTrial,Phase,ExperimentPhase,key_press,StimulusDurationSetting,correctResponse,slider_start,response,Rearranged,didSubjectEnterRearranged,rearranged,Face,Name,CharacterResponse,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
87,1,1996.755,"""",html-button-response,25,41219,0.0-25.0,<p>You responded that you were not sure.</p> <p>The pair was intact.</p>,0,2,feedback,Practice,"""","""","""","""","""","""","""","""","""","""","""",1/25/2021 4:42,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
87,1,null,"""",html-keyboard-response,26,42230,0.0-26.0,"<div style=""font-size:60px;"">+</div>","""",3,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",1/25/2021 4:42,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
87,1,null,"""",image-keyboard-response,27,42485,0.0-27.0,jspsych/scrambledDisgustFaces/scrambledAF34DIS.JPG,"""",3,forwardMask,Practice,null,250,d,"""","""","""","""","""","""","""","""",1/25/2021 4:42,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
87,1,null,"""",image-keyboard-response,28,42503,0.0-28.0,jspsych/disgustFaces/AF34DIS.JPG,"""",3,Cue,Practice,null,"function(){
        return jsPsych.randomization.sampleWithoutReplacement(cueDuration, 1)[0]}","""","""","""","""","""","""","""","""","""",1/25/2021 4:42,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
87,1,null,"""",image-keyboard-response,29,42612,0.0-29.0,jspsych/neutralFaces/BF07NES.JPG,"""",3,backwardMask,Practice,null,100,"""","""","""","""","""","""","""","""","""",1/25/2021 4:42,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
87,1,null,"""",html-keyboard-response,30,43614,0.0-30.0,"<div style=""font-size:60px;"">+</div>","""",3,fixationBtwnNeutralMaskAndPrompt,Practice,null,1000,"""","""","""","""","""","""","""","""","""",1/25/2021 4:42,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
87,1,2732.21,"""",html-slider-response,31,46352,0.0-31.0,"<p><b> Practice Set </b></p><img src='jspsych/CFDfaces/CFD-WF-218-087-N.jpg'height=""250px""></br><b>Shannon</b>","""",3,ConfidenceQuery,Practice,"""","""","""",50,50,1,2,"""","""","""","""",1/25/2021 4:42,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
87,1,2484.76,"""",html-button-response,32,48842,0.0-32.0,<p>You responded that you were not sure.</p> <p>The pair was rearranged.</p>,0,3,feedback,Practice,"""","""","""","""","""","""","""","""","""","""","""",1/25/2021 4:42,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
87,1,null,"""",html-keyboard-response,33,49854,0.0-33.0,"<div style=""font-size:60px;"">+</div>","""",4,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",1/25/2021 4:42,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
87,1,null,"""",image-keyboard-response,34,50115,0.0-34.0,jspsych/scrambledDisgustFaces/scrambledAM25DIS.JPG,"""",4,forwardMask,Practice,null,250,d,"""","""","""","""","""","""","""","""",1/25/2021 4:42,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
87,1,null,"""",image-keyboard-response,35,50137,0.0-35.0,jspsych/disgustFaces/AM25DIS.JPG,"""",4,Cue,Practice,null,"function(){
        return jsPsych.randomization.sampleWithoutReplacement(cueDuration, 1)[0]}","""","""","""","""","""","""","""","""","""",1/25/2021 4:42,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
87,1,null,"""",image-keyboard-response,36,50245,0.0-36.0,jspsych/neutralFaces/AF15NES.JPG,"""",4,backwardMask,Practice,null,100,"""","""","""","""","""","""","""","""","""",1/25/2021 4:42,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
87,1,null,"""",html-keyboard-response,37,51253,0.0-37.0,"<div style=""font-size:60px;"">+</div>","""",4,fixationBtwnNeutralMaskAndPrompt,Practice,null,1000,"""","""","""","""","""","""","""","""","""",1/25/2021 4:42,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
87,1,1863.635,"""",html-slider-response,38,53119,0.0-38.0,"<p><b> Practice Set </b></p><img src='jspsych/CFDfaces/CFD-WM-232-070-N.jpg'height=""250px""></br><b>Patrick</b>","""",4,ConfidenceQuery,Practice,"""","""","""",50,50,0,2,"""","""","""","""",1/25/2021 4:42,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
87,1,1423.975,"""",html-button-response,39,54553,0.0-39.0,<p>You responded that you were not sure.</p> <p>The pair was intact.</p>,0,4,feedback,Practice,"""","""","""","""","""","""","""","""","""","""","""",1/25/2021 4:42,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
